INFO:root:1586702207.560062_model_moe_transformer.pt
INFO:root:Loading cached dataset...
INFO:root:Gating function is: moe
INFO:root:The optimizer used is: sgd
INFO:root:Running without errors
INFO:root:| epoch   1 | batch  5888 | lr 0.00 | ms/batch 231.74 | loss 13.75 | aux_loss  0.18 | ppl 934506.98
INFO:root:| epoch   1 | batch  6016 | lr 0.00 | ms/batch 231.14 | loss 13.75 | aux_loss  0.17 | ppl 935358.56
INFO:root:| epoch   1 | batch  6144 | lr 0.00 | ms/batch 229.94 | loss 13.74 | aux_loss  0.18 | ppl 929547.22
INFO:root:| epoch   1 | batch  6272 | lr 0.00 | ms/batch 228.56 | loss 13.74 | aux_loss  0.18 | ppl 925260.10
INFO:root:| epoch   1 | batch  6400 | lr 0.00 | ms/batch 229.85 | loss 13.75 | aux_loss  0.17 | ppl 941174.54
INFO:root:| epoch   1 | batch  6528 | lr 0.00 | ms/batch 230.97 | loss 13.74 | aux_loss  0.17 | ppl 926960.59
INFO:root:| epoch   1 | batch  6656 | lr 0.00 | ms/batch 229.27 | loss 13.75 | aux_loss  0.18 | ppl 937668.26
INFO:root:| epoch   1 | batch  6784 | lr 0.00 | ms/batch 229.59 | loss 13.74 | aux_loss  0.17 | ppl 928009.09
INFO:root:| epoch   1 | batch  6912 | lr 0.00 | ms/batch 230.07 | loss 13.75 | aux_loss  0.17 | ppl 939896.33
INFO:root:| epoch   1 | batch  7040 | lr 0.00 | ms/batch 231.46 | loss 13.74 | aux_loss  0.17 | ppl 924410.24
INFO:root:| epoch   1 | batch  7168 | lr 0.00 | ms/batch 230.27 | loss 13.73 | aux_loss  0.17 | ppl 919599.34
INFO:root:| epoch   1 | batch  7296 | lr 0.00 | ms/batch 230.40 | loss 13.75 | aux_loss  0.17 | ppl 932117.61
INFO:root:| epoch   1 | batch  7424 | lr 0.00 | ms/batch 230.45 | loss 13.74 | aux_loss  0.17 | ppl 924500.88
INFO:root:| epoch   1 | batch  7552 | lr 0.00 | ms/batch 231.28 | loss 13.74 | aux_loss  0.17 | ppl 926539.84
INFO:root:| epoch   1 | batch  7680 | lr 0.00 | ms/batch 231.24 | loss 13.75 | aux_loss  0.18 | ppl 934014.27
INFO:root:| epoch   1 | batch  7808 | lr 0.00 | ms/batch 229.88 | loss 13.74 | aux_loss  0.18 | ppl 924519.52
INFO:root:| epoch   1 | batch  7936 | lr 0.00 | ms/batch 229.89 | loss 13.73 | aux_loss  0.18 | ppl 916707.27
INFO:root:| epoch   1 | batch  8064 | lr 0.00 | ms/batch 232.38 | loss 13.73 | aux_loss  0.17 | ppl 922636.51
INFO:root:| epoch   1 | batch  8192 | lr 0.00 | ms/batch 230.34 | loss 13.74 | aux_loss  0.17 | ppl 926709.89
INFO:root:| epoch   1 | batch  8320 | lr 0.00 | ms/batch 230.31 | loss 13.73 | aux_loss  0.17 | ppl 922295.09
INFO:root:| epoch   1 | batch  8448 | lr 0.00 | ms/batch 229.36 | loss 13.75 | aux_loss  0.17 | ppl 935364.29
INFO:root:| epoch   1 | batch  8576 | lr 0.00 | ms/batch 229.19 | loss 13.73 | aux_loss  0.19 | ppl 920300.72
INFO:root:| epoch   1 | batch  8704 | lr 0.00 | ms/batch 227.96 | loss 13.74 | aux_loss  0.17 | ppl 929829.08
INFO:root:| epoch   1 | batch  8832 | lr 0.00 | ms/batch 227.79 | loss 13.74 | aux_loss  0.17 | ppl 925985.81
INFO:root:| epoch   1 | batch  8960 | lr 0.00 | ms/batch 231.51 | loss 13.74 | aux_loss  0.17 | ppl 928654.52
INFO:root:| epoch   1 | batch  9088 | lr 0.00 | ms/batch 230.11 | loss 13.74 | aux_loss  0.17 | ppl 930367.04
INFO:root:| epoch   1 | batch  9216 | lr 0.00 | ms/batch 232.50 | loss 13.73 | aux_loss  0.18 | ppl 920890.09
INFO:root:| epoch   1 | batch  9344 | lr 0.00 | ms/batch 230.49 | loss 13.73 | aux_loss  0.18 | ppl 922329.08
INFO:root:| epoch   1 | batch  9472 | lr 0.00 | ms/batch 229.67 | loss 13.74 | aux_loss  0.18 | ppl 928974.95
INFO:root:| epoch   1 | batch  9600 | lr 0.00 | ms/batch 230.53 | loss 13.73 | aux_loss  0.17 | ppl 918585.68
INFO:root:| epoch   1 | batch  9728 | lr 0.00 | ms/batch 229.97 | loss 13.75 | aux_loss  0.17 | ppl 933700.85
INFO:root:| epoch   1 | batch  9856 | lr 0.00 | ms/batch 231.49 | loss 13.75 | aux_loss  0.19 | ppl 934899.66
INFO:root:| epoch   1 | batch  9984 | lr 0.00 | ms/batch 231.39 | loss 13.74 | aux_loss  0.18 | ppl 931421.28
INFO:root:| epoch   1 | batch 10112 | lr 0.00 | ms/batch 230.91 | loss 13.74 | aux_loss  0.17 | ppl 930345.28
